Term,ID,Definition,Term Type,Related Terms,Related To,Example
Alignment Activator,alignment_activator,"An inner state, emotional quality, or intentional practice that supports a shift toward greater alignment. Activators help restore energetic flow, awaken suppressed traits, and stabilize coherence between one’s inner nature and outer context. They are often subtle, personal, and moment-driven—such as gratitude, movement, reflection, or connection—and serve to re-engage the self with clarity and vitality.",concept,,"alignment_dynamics,alignment",
Gratitude,gratitude,"A mindset or practice that redirects awareness toward what is already present and valuable. Gratitude softens inner resistance, settles nervous system activation, and gently invites underutilized traits to resurface.",activator,"Appreciation,Thankfulness,Blessing Awareness,Recognition,Humility",alignment_activator,
Purpose,purpose,"A felt sense of meaningful direction or contribution that activates traits and creates coherence. Purpose serves as a compass for decision-making and helps align effort with what feels most alive, authentic, and long-term.",activator,"Meaning,Calling,Mission,Direction,Intention,Inner Compass",alignment_activator,
Curiosity,curiosity,"An open, nonjudgmental orientation that encourages exploration and dissolves internal rigidity. Curiosity allows traits to re-emerge without pressure, especially when fear, perfectionism, or control have blocked expression.",activator,"Wonder,Inquiry,Questioning,Exploration,Openness,Interest",alignment_activator,
Connection,connection,"A sense of relational resonance—with self, others, or source—that restores coherence and safety. Connection reawakens traits that have gone underground due to disconnection, isolation, or emotional suppression.",activator,"Belonging,Resonance,Attunement,Relational Energy,Intimacy",alignment_activator,
Movement,movement,"Physical or kinetic engagement that reactivates dormant traits by restoring flow in the body and nervous system. Movement breaks through inertia and dislodges blocked energy, creating space for renewed engagement and expression.",activator,"Embodiment,Motion,Kinetic Activation,Somatic Flow,Physical Engagement",alignment_activator,
Stillness,stillness,"A quiet internal space where suppressed traits can safely surface without interference. Stillness softens reactivity, enhances listening, and often reveals misalignments or unexpressed needs through subtle inner awareness.",activator,"Silence,Spaciousness,Internal Pause,Calm,Non-Reactivity",alignment_activator,
Play,play,"A state of spontaneous, low-pressure engagement that reduces inhibition and performance anxiety. Play bypasses the inner critic and allows traits to emerge organically through joy, experimentation, and creative frictionlessness.",activator,"Spontaneity,Lightness,Humor,Experimentation,Joy",alignment_activator,
Reflection,reflection,"A practice of thoughtful inward observation that helps illuminate patterns of suppression, overuse, or avoidance. Reflection supports conscious re-alignment by increasing awareness of what traits are active, absent, or distorted.",activator,"Self-Inquiry,Introspection,Meta-Awareness,Contemplation,Observation",alignment_activator,
Authenticity,authenticity,"A state of self-honesty and unfiltered expression that invites one’s true traits to surface. When a person acts from authenticity, they stop performing for approval and begin to engage from their natural center, allowing alignment to deepen.",activator,"Realness,Truthfulness,Congruence,Integrity,Self-Honesty",alignment_activator,
Vulnerability,vulnerability,"A willingness to be seen in one’s uncertainty or emotional truth. Vulnerability disarms performance patterns and protective mechanisms, creating space for raw, honest traits to re-emerge and be expressed in real time.",activator,"Emotional Openness,Transparency,Softness,Courage,Receptivity",alignment_activator,
Gross Bodily Intelligence,gross_bodily_intelligence,"The capacity to engage large-scale movement with coordination, strength, and physical rhythm. Expressed through running, climbing, lifting, or athletic performance, this intelligence governs how one interacts with space through the whole body.",intelligence,"gross_bodily_intelligence,bodily-kinesthetic_intelligence,logical-mathematical_intelligence",multiple_intelligences_theory_rudolph,
Fine Bodily Intelligence,fine_bodily_intelligence,"The capacity for precise, small-scale motor control—such as using fingers, eyes, or fine muscle groups in delicate, detail-oriented tasks. It is seen in crafts, surgical skills, art, and instrument use.",intelligence,bodily-kinesthetic_intelligence,multiple_intelligences_theory_rudolph,
Interpersonal Intelligence,interpersonal_intelligence,"The ability to perceive, interpret, and respond to the emotions, motivations, and behaviors of others. Often expressed in communication, collaboration, leadership, and social navigation.",intelligence,existential_intelligence,multiple_intelligences_theory_rudolph,
Logical Intelligence,logical_intelligence,"The ability to analyze, organize, and make sense of information through patterns, sequences, systems, and reasoning. Common in coding, math, diagnostics, and structured problem-solving.",intelligence,bodily-kinesthetic_intelligence,multiple_intelligences_theory_rudolph,
Linguistic Intelligence,linguistic_intelligence,"The ability to use language—spoken or written—for expression, persuasion, storytelling, or communication. Often seen in writing, teaching, public speaking, and translating ideas into words.",intelligence,,multiple_intelligences_theory_rudolph,
Graphic Visual Intelligence,graphic_visual_intelligence,"The capacity to understand and create flat, two-dimensional visual information such as charts, illustrations, designs, and layouts. Related to how one engages with symbols, patterns, or 2D representation.",intelligence,spatial_visual_intelligence,multiple_intelligences_theory_rudolph,
Spatial Visual Intelligence,spatial_visual_intelligence,"The ability to perceive, manipulate, and mentally navigate three-dimensional space. Often seen in architecture, sculpture, engineering, or navigating physical environments.",intelligence,,multiple_intelligences_theory_rudolph,
Musical Intelligence,musical_intelligence,"The sensitivity to tone, rhythm, melody, pitch, and pattern in sound. Expressed through composition, performance, listening, or structuring experiences through auditory rhythm.",intelligence,,multiple_intelligences_theory_rudolph,
Intrapersonal Intelligence,intrapersonal_intelligence,"The ability to reflect on one’s own emotional and cognitive states, to self-monitor, and to understand one’s internal motivations. Supports decision-making, self-regulation, and introspection.",intelligence,logical-mathematical_intelligence,multiple_intelligences_theory_rudolph,
Naturalistic Intelligence,naturalistic_intelligence,"The ability to observe, classify, and engage with natural systems—plants, animals, ecosystems, and environments. Expressed through gardening, animal care, nature-based work, and sensing patterns in the natural world.",intelligence,,multiple_intelligences_theory_rudolph,
Threat Detection,threat_detection,"The capacity to identify, anticipate, and respond to emerging threats or risks in systems, environments, or people.",subtrait category,,"protective_nature,trait,multiple_natures_natures",
Boundary Defense,boundary_defense,"The tendency to define, uphold, and protect clear boundaries—physical, emotional, ethical, or systemic—against harmful intrusion.",subtrait category,,"protective_nature,trait,multiple_natures_natures",
Emergency Response,emergency_response,The ability to act swiftly and effectively in crisis situations to contain danger and stabilize systems or people under pressure.,subtrait category,,"protective_nature,trait,multiple_natures_natures",
Preventive Systems,preventive_systems,"The orientation toward designing protocols, safeguards, and redundancies to prevent harm before it occurs.",subtrait category,,"protective_nature,trait,multiple_natures_natures",
Protective Oversight,oversight,"The trait-driven vigilance to monitor systems, check for weaknesses, and ensure ongoing integrity and functionality.",subtrait category,,"protective_nature,trait,multiple_natures_natures",
Recovery Architecture,recovery_architecture,"The skill of planning for and facilitating recovery after disruption, including resilience-building, restoration, and contingency planning.",subtrait category,,"protective_nature,trait,multiple_natures_natures",
Protective Leadership,protective_leadership,"The ability to lead with calm, clarity, and assurance during risky or unstable times, fostering safety and trust.",subtrait category,,"protective_nature,trait,multiple_natures_natures",
Violation Response,violation_response,"The drive to intervene when harm has occurred—stopping further damage, restoring order, and ensuring accountability.",subtrait category,,"protective_nature,trait,multiple_natures_natures",
Protective Communication,protective_communication,"The tendency to alert, educate, and advocate for safety and protection through clear, timely, and targeted communication.",subtrait category,,"protective_nature,trait,multiple_natures_natures",
Facet,facet,"A unique combination of traits and/or subtraits (e.g., intelligences and natures) that forms a distinct behavioral or energetic configuration. A facet represents a person’s natural way of expressing themselves, independent of context, domain, or function. It is the building block from which real-world roles and identities emerge, but is not a role itself.",concept,,"facet,trait theory",
Facet Role,facet_role,"A functional descriptor applied to a facet that gives it a recognizable identity or style of action in the world. It reflects how a person’s trait combination tends to show up in interaction or output (e.g., “Visual Organizer,” “Verbal Synthesizer”). A facet role is not a job title or fixed persona—it’s a way to name the expressive flavor of a facet.",concept,,"facet,trait theory",
Archetype,archetype,"A facet role situated in a context—such as a domain, life stage, or societal function. Archetypes describe recognizable patterns of human identity or contribution (e.g., “Policy Analyst,” “Crisis Responder,” “Youth Mentor”). They are the real-world manifestations of a facet role applied with intent, purpose, and environmental influence.",concept,,"facet,trait theory",
Trait Interplay,trait_interplay,"The dynamic interaction between two or more traits—such as Multiple Natures, intelligences, or subtraits—that are simultaneously active. Trait Interplay explains the energetic relationship between traits: how they reinforce, conflict, balance, or compensate for one another in real-time expression. It is not the traits themselves, but the tension or synergy between them that gives shape, tone, and behavior to a Facet.",concept,,"facet,subtrait,trait theory",
Aligned Communication,aligned_communication,"In the Multiple Natures and Alignment Dynamics frameworks, Aligned Communication refers to the expression of thoughts, emotions, or ideas in a way that is both true to one’s core traits and attuned to the moment, audience, and environment. It arises when the traits driving communication — such as Linguistic Intelligence, Interpersonal Nature, Creative Nature, or others — are freely expressed, undistorted, and supported by context. Aligned Communication is often energizing, clear, and impactful. It feels both authentic and effective, whether it takes the form of speaking, writing, drawing, storytelling, or silent presence. Misaligned communication, by contrast, feels effortful, artificial, or draining, and often reflects trait suppression or distortion.",concept,,"alignment_dynamics,trait_expression,facet,multiple_natures_framework,misalignment,linguistic_intelligence",
Multipotentiality,multipotentiality,"A trait differentiation pattern in which a person’s traits are relatively evenly expressed, with no single trait standing out significantly above the others. This creates a profile of broad potential, versatility, and fluid engagement across many domains, without a singular dominant strength. Individuals with multipotentiality often experience high adaptability and openness to diverse pursuits, but may struggle with long-term focus or direction in environments that require deep specialization.",concept,,"trait_expression,alignment_dynamics,multiple_natures_framework",
Creative + Educative Facet,facet_creative_educative,"A facet marked by the impulse to generate original ideas, tools, or systems (Creative Nature) alongside a desire to teach or support others’ growth (Educative Nature). Expresses as designing experiences that both inform and inspire.",facet,,"creative_nature,educative_nature,trait_interplay,multiple_natures_framework",
Healing + Providing Facet,facet_healing_providing,A nurturing facet that combines emotional or physical care (Healing Nature) with practical service (Providing Nature). Often present in those who feel responsible for restoring others' well-being.,facet,,"healing_nature,providing_nature,trait_interplay,multiple_natures_framework",
Protective + Administrative Facet,facet_protective_administrative,"A facet rooted in safeguarding people or systems (Protective Nature) combined with a structured, rule-oriented approach (Administrative Nature). Often expressed in policy creation, enforcement, or risk prevention.",facet,,"protective_nature,administrative_nature,trait_interplay,multiple_natures_framework",
Entertaining + Interpersonal Facet,facet_entertaining_interpersonal,A lively social facet driven by the urge to engage and uplift (Entertaining Nature) and the ability to tune into others emotionally (Interpersonal Nature). Shows up in social cohesion and crowd energy roles.,facet,,"entertaining_nature,trait_interplay,multiple_natures_framework",
Entrepreneurial + Logical Facet,facet_entrepreneurial_logical,"A pragmatic facet blending risk-taking and initiative (Entrepreneurial Nature) with systems-oriented thinking (Logical Intelligence). Often drives the design of efficient, profitable systems.",facet,,"entrepreneurial_nature,logical_intelligence,trait_interplay,multiple_natures_framework",
Creative + Musical Facet,facet_creative_musical,"A facet that expresses imagination through sound, rhythm, or performance. Combines the drive to generate novelty (Creative Nature) with auditory pattern sensitivity (Musical Intelligence).",facet,,"creative_nature,musical_intelligence,trait_interplay,multiple_natures_framework",
Healing + Intrapersonal Facet,facet_healing_intrapersonal,A deeply reflective facet that merges self-awareness (Intrapersonal Intelligence) with the desire to restore others (Healing Nature). Often expressed in one-on-one settings or personal transformation work.,facet,,"healing_nature,intrapersonal_intelligence,trait_interplay,multiple_natures_framework",
Educative + Administrative Facet,facet_educative_administrative,"A facet driven to guide and instruct (Educative Nature) using structured, organized methods (Administrative Nature). Often creates systems for learning or team development.",facet,,"educative_nature,administrative_nature,trait_interplay,multiple_natures_framework",
Adventurous + Healing Facet,facet_adventurous_healing,Combines the desire to explore or challenge norms (Adventurous Nature) with a need to help others grow or recover (Healing Nature). Often expressed in transformational or experiential therapeutic contexts.,facet,,"adventurous_nature,healing_nature,trait_interplay,multiple_natures_framework",
Providing + Protective Facet,facet_providing_protective,A supportive and vigilant facet that blends caring for others’ needs (Providing Nature) with the instinct to guard them from harm (Protective Nature). Often expressed in team protection or family roles.,facet,,"providing_nature,protective_nature,trait_interplay,multiple_natures_framework",
Entertaining + Creative Facet,facet_entertaining_creative,"A playful, expressive facet combining the drive to amuse or uplift (Entertaining Nature) with a love for originality (Creative Nature). Often results in performance, improvisation, or artistic engagement.",facet,,"entertaining_nature,creative_nature,trait_interplay,multiple_natures_framework",
Educative + Interpersonal Facet,facet_educative_interpersonal,"A facet focused on teaching and guiding (Educative Nature) through deep emotional awareness (Interpersonal Nature). Often used in mentoring, coaching, or sensitive group facilitation.",facet,,"educative_nature,trait_interplay,multiple_natures_framework",
Entrepreneurial + Protective Facet,facet_entrepreneurial_protective,"A facet that merges the drive to build and lead ventures (Entrepreneurial Nature) with a protective instinct to ensure safety and ethics. Often seen in those who build systems to defend values, rights, or people.",facet,,"entrepreneurial_nature,protective_nature,trait_interplay,multiple_natures_framework",
Healing + Administrative Facet,facet_healing_administrative,"A facet that brings care and recovery (Healing Nature) into structured environments (Administrative Nature). Often results in people who manage wellness, care, or healing programs with clarity and efficiency.",facet,,"healing_nature,administrative_nature,trait_interplay,multiple_natures_framework",
Creative + Adventurous Facet,facet_creative_adventurous,"A dynamic facet combining the urge to innovate (Creative Nature) with a love of novelty and risk (Adventurous Nature). Often shows up in idea-driven exploration, unorthodox projects, or pioneering work.",facet,,"creative_nature,adventurous_nature,trait_interplay,multiple_natures_framework",
Protective + Healing Facet,facet_protective_healing,"Combines a deep instinct to safeguard others (Protective Nature) with a strong urge to repair and nurture (Healing Nature). Often shows up in crisis response, recovery, or advocacy.",facet,,"protective_nature,healing_nature,trait_interplay,multiple_natures_framework",
Educative + Interpersonal Facet,facet_educative_interpersonal,"Merges the drive to teach (Educative Nature) with relational sensitivity (Interpersonal Nature). Often used in mentoring, coaching, and emotionally attuned group facilitation.",facet,,"educative_nature,trait_interplay,multiple_natures_framework",
Administrative + Entrepreneurial Facet,facet_administrative_entrepreneurial,Combines initiative and risk-taking (Entrepreneurial Nature) with structure and systems management (Administrative Nature). Often expressed in operational leadership and scalable ventures.,facet,,"administrative_nature,entrepreneurial_nature,trait_interplay,multiple_natures_framework",
Creative + Protective Facet,facet_creative_protective,Merges the impulse to generate new solutions (Creative Nature) with the instinct to prevent harm or preserve integrity (Protective Nature). Often creates innovative safeguards or resilient systems.,facet,,"creative_nature,protective_nature,trait_interplay,multiple_natures_framework",
Adventurous + Providing Facet,facet_adventurous_providing,Blends exploration and novelty-seeking (Adventurous Nature) with service and care (Providing Nature). Often expressed in dynamic caretaking or adventurous hospitality.,facet,,"adventurous_nature,providing_nature,trait_interplay,multiple_natures_framework",
Entertaining + Educative Facet,facet_entertaining_educative,"Combines the drive to engage and delight (Entertaining Nature) with the desire to teach or guide (Educative Nature). Tends to express through interactive teaching, edutainment, or playful instruction.",facet,,"entertaining_nature,educative_nature,trait_interplay,multiple_natures_framework",
Creative + Administrative Facet,facet_creative_administrative,Balances the urge to innovate (Creative Nature) with a capacity for planning and implementation (Administrative Nature). Often results in structured innovation or artistic systems.,facet,,"creative_nature,administrative_nature,trait_interplay,multiple_natures_framework",
Healing + Logical Facet,facet_healing_logical,"Blends emotional care (Healing Nature) with analytical clarity (Logical Intelligence). Often shows up in methodical caregiving, data-informed therapy, or clinical healing approaches.",facet,,"healing_nature,logical_intelligence,trait_interplay,multiple_natures_framework",
Protective + Logical Facet,facet_protective_logical,"A facet that uses system thinking (Logical Intelligence) to identify risks and create safeguards (Protective Nature). Often appears in risk analysis, compliance, or structural security.",facet,,"protective_nature,logical_intelligence,trait_interplay,multiple_natures_framework",
Educative + Healing Facet,facet_educative_healing,"A combination of guiding (Educative Nature) and emotional restoration (Healing Nature). Expressed in compassionate teaching, therapeutic education, or healing through learning.",facet,,"educative_nature,healing_nature,trait_interplay,multiple_natures_framework",
Adventurous + Entrepreneurial Facet,facet_adventurous_entrepreneurial,"A facet driven by exploration (Adventurous Nature) and value creation (Entrepreneurial Nature). Often expressed in launching new ventures, forging new markets, or innovating on the edge.",facet,,"adventurous_nature,entrepreneurial_nature,trait_interplay,multiple_natures_framework",
Providing + Administrative Facet,facet_providing_administrative,Combines supportive care (Providing Nature) with structured execution (Administrative Nature). Often found in those who create sustainable systems of support.,facet,,"providing_nature,administrative_nature,trait_interplay,multiple_natures_framework",
Interpersonal + Healing Facet,facet_interpersonal_healing,Merges deep emotional attunement (Interpersonal Nature) with a desire to support others’ well-being (Healing Nature). Tends to show up in emotionally intelligent caregiving or trauma-informed work.,facet,,"healing_nature,trait_interplay,multiple_natures_framework",
Entertaining + Entrepreneurial Facet,facet_entertaining_entrepreneurial,"A facet that combines the ability to energize others (Entertaining Nature) with the drive to initiate ventures (Entrepreneurial Nature). Often seen in people who promote ideas, movements, or experiences with flair.",facet,,"entertaining_nature,entrepreneurial_nature,trait_interplay,multiple_natures_framework",
Protective + Interpersonal Facet,facet_protective_interpersonal,"A facet that blends the instinct to guard or defend (Protective Nature) with interpersonal awareness (Interpersonal Nature). Often expressed in mediation, social protection, or community safeguarding.",facet,,"protective_nature,trait_interplay,multiple_natures_framework",
Creative + Providing Facet,facet_creative_providing,"A facet that combines idea generation (Creative Nature) with service and generosity (Providing Nature). Often seen in people who build things that help others — tools, environments, systems.",facet,,"creative_nature,providing_nature,trait_interplay,multiple_natures_framework",
Educative + Healing Facet,facet_educative_healing,"A blend of teaching (Educative Nature) and restoration (Healing Nature). This facet shows up in gentle instruction, emotionally attuned facilitation, or healing through knowledge.",facet,,"educative_nature,healing_nature,trait_interplay,multiple_natures_framework",
Adventurous + Entertaining Facet,facet_adventurous_entertaining,"A high-energy, expressive facet that combines risk-taking (Adventurous Nature) with social presence (Entertaining Nature). Often emerges in performances, social initiation, or morale boosting.",facet,,"adventurous_nature,entertaining_nature,trait_interplay,multiple_natures_framework",
Entrepreneurial + Providing Facet,facet_entrepreneurial_providing,A facet that blends the drive to build ventures (Entrepreneurial Nature) with the desire to serve (Providing Nature). Common in social entrepreneurship or mission-aligned business building.,facet,,"entrepreneurial_nature,providing_nature,trait_interplay,multiple_natures_framework",
Administrative + Interpersonal Facet,facet_administrative_interpersonal,"Combines the drive for order (Administrative Nature) with relational nuance (Interpersonal Nature). Often results in those who manage teams, systems, or communities with emotional intelligence.",,,,
Adventurous + Interpersonal Facet,facet_adventurous_interpersonal,"Combines social curiosity and spontaneity (Adventurous Nature) with emotional and relational attunement (Interpersonal Nature). Often seen in people who initiate connections, start conversations, or explore group dynamics with ease.",facet,,"adventurous_nature,trait_interplay,multiple_natures_framework",
Administrative + Healing Facet,facet_administrative_healing,Blends organizational precision (Administrative Nature) with care and restoration (Healing Nature). Often shows up in people who manage wellness systems or facilitate recovery programs with clear process and structure.,facet,,"administrative_nature,healing_nature,trait_interplay,multiple_natures_framework",
Creative + Protective Facet,facet_creative_protective,"Combines generative thinking (Creative Nature) with vigilance and risk anticipation (Protective Nature). Often emerges in designing safety systems, tools for resilience, or early-warning frameworks.",facet,,"creative_nature,protective_nature,trait_interplay,multiple_natures_framework",
Educative + Healing Facet,facet_educative_healing_alt,"A nurturing and reflective blend, bringing together the desire to teach and explain (Educative Nature) with a focus on healing or emotional well-being (Healing Nature). Seen in counselors, health educators, or gentle facilitators.",facet,,"educative_nature,healing_nature,trait_interplay,multiple_natures_framework",
Entrepreneurial + Entertaining Facet,facet_entrepreneurial_entertaining,"A high-energy, expressive facet that blends the desire to engage and amuse (Entertaining Nature) with the initiative to start things (Entrepreneurial Nature). Seen in people who rally energy behind projects or causes.",facet,,"entrepreneurial_nature,entertaining_nature,trait_interplay,multiple_natures_framework",
Healing + Administrative Facet,facet_healing_administrative_alt,Fuses empathy and support (Healing Nature) with organizational clarity (Administrative Nature). These individuals manage care or healing environments with attention to both emotional and structural needs.,facet,,"healing_nature,administrative_nature,trait_interplay,multiple_natures_framework",
Educative + Protective Facet,facet_educative_protective,Blends the desire to teach or inform (Educative Nature) with a strong instinct to defend and safeguard (Protective Nature). Often shows up in value-based instruction or principled advocacy.,facet,,"educative_nature,protective_nature,trait_interplay,multiple_natures_framework",
Adventurous + Administrative Facet,facet_adventurous_administrative,A unique blend of exploration and structure. Combines novelty-seeking (Adventurous Nature) with systems management (Administrative Nature). Seen in people who organize unconventional experiences or manage dynamic environments.,facet,,"adventurous_nature,administrative_nature,trait_interplay,multiple_natures_framework",
Providing + Creative Facet,facet_providing_creative,"Brings together practical caregiving (Providing Nature) and inventive expression (Creative Nature). Common in people who design support tools, spaces, or services that are warm, beautiful, and functional.",facet,,"providing_nature,creative_nature,trait_interplay,multiple_natures_framework",
Entrepreneurial + Educative Facet,facet_entrepreneurial_educative,Combines the initiative to build (Entrepreneurial Nature) with the desire to guide or explain (Educative Nature). Seen in founders of educational startups or people who develop learning-based products.,facet,,"entrepreneurial_nature,educative_nature,trait_interplay,multiple_natures_framework",
Healing + Protective Facet,facet_healing_protective,Merges emotional care (Healing Nature) with the instinct to prevent harm (Protective Nature). Often expressed through safeguarding the vulnerable or building systems of safety and recovery.,facet,,"healing_nature,protective_nature,trait_interplay,multiple_natures_framework",
Entertaining + Healing Facet,facet_entertaining_healing,A facet that blends humor and care. Combines the desire to uplift (Entertaining Nature) with the impulse to heal (Healing Nature). Often uses play or laughter as a path to restoration.,facet,,"entertaining_nature,healing_nature,trait_interplay,multiple_natures_framework",
Educative + Adventurous Facet,facet_educative_adventurous,"Brings together teaching (Educative Nature) with exploration and challenge (Adventurous Nature). Often results in experiential educators or people who teach through action, travel, or risk-taking.",facet,,"educative_nature,adventurous_nature,trait_interplay,multiple_natures_framework",
Administrative + Entertaining Facet,facet_administrative_entertaining,"Combines systems-focused thinking (Administrative Nature) with expressiveness and audience connection (Entertaining Nature). Often emerges in event planning, program design, or logistical leadership with personality.",facet,,"administrative_nature,entertaining_nature,trait_interplay,multiple_natures_framework",
Creative + Interpersonal Facet,facet_creative_interpersonal,"Merges the drive to generate novel ideas (Creative Nature) with emotional awareness and relational depth (Interpersonal Nature). Often expressed in people-centered design, community building, or storytelling.",facet,,"creative_nature,trait_interplay,multiple_natures_framework",
Providing + Logical Facet,facet_providing_logical,"Combines the urge to serve and support (Providing Nature) with analytical, step-by-step reasoning (Logical Intelligence). Often shows up in supportive planning or process-driven caregiving.",facet,,"providing_nature,logical_intelligence,trait_interplay,multiple_natures_framework",
Interpersonal + Educative Facet,facet_interpersonal_educative,"Blends social intuition (Interpersonal Nature) with a desire to teach and guide (Educative Nature). Common in facilitation, team coaching, or relationally-driven instruction.",facet,,"educative_nature,trait_interplay,multiple_natures_framework",
Protective + Educative Facet,facet_protective_educative,"A facet that combines value- or safety-based instruction (Protective Nature) with guidance and explanation (Educative Nature). Often shows up in moral or safety education, training, or advocacy.",facet,,"protective_nature,educative_nature,trait_interplay,multiple_natures_framework",
Creative + Healing Facet,facet_creative_healing,"Combines imaginative, generative energy (Creative Nature) with the instinct to soothe or restore (Healing Nature). Often results in art therapy, expressive healing, or emotion-forward creation.",facet,,"creative_nature,healing_nature,trait_interplay,multiple_natures_framework",
Adventurous + Protective Facet,facet_adventurous_protective,Blends a willingness to face challenge (Adventurous Nature) with an impulse to guard or defend (Protective Nature). Often found in people who lead others into new territory while ensuring safety.,facet,,"adventurous_nature,protective_nature,trait_interplay,multiple_natures_framework",
Entrepreneurial + Healing Facet,facet_entrepreneurial_healing,A facet driven to build or scale systems (Entrepreneurial Nature) with a deep desire to create healing or care-based impact (Healing Nature). Common in those who launch wellness initiatives or healing-focused ventures.,facet,,"entrepreneurial_nature,healing_nature,trait_interplay,multiple_natures_framework",
Interpersonal + Protective Facet,facet_interpersonal_protective,"Blends attunement to people (Interpersonal Nature) with a desire to guard or intervene (Protective Nature). Often shows up in mediation, advocacy, or peer protection.",facet,,"protective_nature,trait_interplay,multiple_natures_framework",
Administrative + Protective Facet,facet_administrative_protective,"Combines structural clarity (Administrative Nature) with the instinct to defend (Protective Nature). Seen in roles involving enforcement, operations, or ethics systems.",facet,,"administrative_nature,protective_nature,trait_interplay,multiple_natures_framework",
Entrepreneurial + Interpersonal Facet,facet_entrepreneurial_interpersonal,A people-forward facet that blends social connection (Interpersonal Nature) with business or initiative drive (Entrepreneurial Nature). Seen in community-led startups or relational marketing.,facet,,"entrepreneurial_nature,trait_interplay,multiple_natures_framework",
Adventurous + Creative Facet,facet_adventurous_creative,"Combines the urge to explore (Adventurous Nature) with the impulse to innovate (Creative Nature). Common in breakthrough thinkers, disruptive artists, or people who prototype through experimentation.",,,,
Creative + Educative + Administrative Facet,facet_creative_educative_administrative,"A facet driven to generate new ideas (Creative), guide others in learning (Educative), and structure systems (Administrative). Tends to express as building learning platforms, curriculums, or programs that scale knowledge.",facet,,"creative_nature,educative_nature,administrative_nature,trait_interplay,multiple_natures_framework",
Healing + Providing + Interpersonal Facet,facet_healing_providing_interpersonal,"Combines care and restoration (Healing), supportive action (Providing), and emotional connection (Interpersonal). Often seen in those who offer deep, attuned, hands-on support in personal or professional care roles.",facet,,"healing_nature,providing_nature,trait_interplay,multiple_natures_framework",
Entrepreneurial + Protective + Logical Facet,facet_entrepreneurial_protective_logical,"A builder of protective systems: this facet merges innovation and initiative (Entrepreneurial), safeguarding instincts (Protective), and structured thinking (Logical). Often creates secure, value-aligned infrastructures or policies.",facet,,"entrepreneurial_nature,protective_nature,logical_intelligence,trait_interplay,multiple_natures_framework",
Entertaining + Creative + Interpersonal Facet,facet_entertaining_creative_interpersonal,"A socially expressive facet blending the urge to perform (Entertaining), the drive to innovate (Creative), and emotional intuition (Interpersonal). Often expressed in facilitation, stage presence, or media creation with heart.",facet,,"entertaining_nature,creative_nature,trait_interplay,multiple_natures_framework",
Adventurous + Healing + Providing Facet,facet_adventurous_healing_providing,"Merges risk-taking and exploration (Adventurous), with care (Healing) and service (Providing). Often appears in those who lead others into growth experiences, retreats, or immersive transformational journeys.",facet,,"adventurous_nature,healing_nature,providing_nature,trait_interplay,multiple_natures_framework",
Administrative + Educative + Protective Facet,facet_administrative_educative_protective,"Combines structure-building (Administrative), knowledge-sharing (Educative), and risk-prevention (Protective). Common in instructional leadership or systems training with a focus on safety and compliance.",facet,,"administrative_nature,educative_nature,protective_nature,trait_interplay,multiple_natures_framework",
Creative + Entrepreneurial + Providing Facet,facet_creative_entrepreneurial_providing,"A facet focused on creating tools, services, or platforms that meet people’s needs. Driven by innovation (Creative), service (Providing), and action (Entrepreneurial), often found in mission-driven product creation.",facet,,"creative_nature,entrepreneurial_nature,providing_nature,trait_interplay,multiple_natures_framework",
Healing + Protective + Administrative Facet,facet_healing_protective_administrative,"Brings structure to caregiving. Combines the desire to heal (Healing), the instinct to protect (Protective), and the ability to organize systems (Administrative). Seen in well-run care programs or emergency response planning.",facet,,"healing_nature,protective_nature,administrative_nature,trait_interplay,multiple_natures_framework",
Educative + Creative + Interpersonal Facet,facet_educative_creative_interpersonal,"A facet that teaches through connection and originality. Merges learning design (Educative), imagination (Creative), and people-sense (Interpersonal). Found in coaching, expressive learning, or training artistry.",facet,,"educative_nature,creative_nature,trait_interplay,multiple_natures_framework",
Entertaining + Adventurous + Entrepreneurial Facet,facet_entertaining_adventurous_entrepreneurial,"A bold and high-energy facet that combines performance (Entertaining), novelty-seeking (Adventurous), and initiative (Entrepreneurial). Tends to express through attention-getting launches, campaigns, or movements.",facet,,"entertaining_nature,adventurous_nature,entrepreneurial_nature,trait_interplay,multiple_natures_framework",
Protective + Administrative + Interpersonal Facet,facet_protective_administrative_interpersonal,"A facet marked by structured oversight (Administrative), social awareness (Interpersonal), and protective instincts (Protective). Often seen in community caretaking, HR, or ethics enforcement roles.",facet,,"protective_nature,administrative_nature,trait_interplay,multiple_natures_framework",
Educative + Logical + Healing Facet,facet_educative_logical_healing,"Combines the ability to explain with clarity (Logical + Educative) and emotional attunement (Healing). Often seen in wellness coaching, psychoeducation, or instructional therapy.",facet,,"educative_nature,logical_intelligence,healing_nature,trait_interplay,multiple_natures_framework",
Creative + Entrepreneurial + Adventurous Facet,facet_creative_entrepreneurial_adventurous,"A highly generative, risk-tolerant facet. Merges innovation (Creative), initiative (Entrepreneurial), and exploration (Adventurous). Often drives disruptive ideas and experimental ventures.",facet,,"creative_nature,entrepreneurial_nature,adventurous_nature,trait_interplay,multiple_natures_framework",
Providing + Interpersonal + Educative Facet,facet_providing_interpersonal_educative,"A support-focused facet that blends care (Providing), emotional sensitivity (Interpersonal), and a desire to guide (Educative). Often emerges in personal mentorship, relational teaching, or client support roles.",facet,,"providing_nature,educative_nature,trait_interplay,multiple_natures_framework",
